U,deltaU,Ua,deltaUa,Ia,deltaIa
11.20,0.13,4.40,0.052,44.00,0.52
12.50,0.14,4.95,0.052,49.50,0.52
16.90,0.15,6.33,0.053,63.30,0.53
17.50,0.15,6.03,0.053,60.30,0.53
19.40,0.16,2.74,0.051,27.40,0.51
22.50,0.17,1.09,0.051,10.90,0.51
23.00,0.17,1.16,0.051,11.60,0.51
27.40,0.18,11.35,0.056,113.50,0.56
30.80,0.19,14.56,0.057,145.60,0.57
32.80,0.20,15.60,0.058,156.00,0.58
33.70,0.20,15.27,0.058,152.70,0.58
35.70,0.21,8.58,0.054,85.80,0.54
37.70,0.21,2.30,0.051,23.00,0.51
39.90,0.22,1.03,0.051,10.30,0.51
41.00,0.22,4.12,0.052,41.20,0.52
45.50,0.24,18.72,0.059,187.20,0.59
48.60,0.25,23.02,0.062,230.20,0.62
49.40,0.25,23.66,0.062,236.60,0.62
50.20,0.25,24.03,0.062,240.30,0.62
51.30,0.25,21.95,0.061,219.50,0.61
54.00,0.26,10.99,0.055,109.90,0.55
56.10,0.27,3.08,0.052,30.80,0.52
56.90,0.27,2.29,0.051,22.90,0.51
58.10,0.27,5.21,0.053,52.10,0.53
63.20,0.29,23.33,0.062,233.30,0.62
65.90,0.30,29.62,0.065,296.20,0.65
67.40,0.30,31.53,0.066,315.30,0.66
69.00,0.31,28.92,0.064,289.20,0.64
71.20,0.31,28.65,0.064,286.50,0.64
73.00,0.32,12.84,0.056,128.40,0.56
75.20,0.33,9.83,0.055,98.30,0.55
76.40,0.33,11.47,0.056,114.70,0.56
79.10,0.34,19.03,0.060,190.30,0.60
83.00,0.35,32.56,0.066,325.60,0.66
86.40,0.36,37.25,0.069,372.50,0.69
87.00,0.36,36.24,0.068,362.40,0.68
89.50,0.37,29.06,0.065,290.60,0.65
92.80,0.38,21.07,0.061,210.70,0.61
94.30,0.38,20.36,0.060,203.60,0.60
95.60,0.39,21.77,0.061,217.70,0.61
